State,Level,Name,TRU,TOT_P,TOT_M,TOT_F
09,DISTRICT,Gautam Buddha Nagar,Total,1648115,890214,757901
09,DISTRICT,Gautam Buddha Nagar,Rural,673806,359605,314201
09,DISTRICT,Gautam Buddha Nagar,Urban,974309,530609,443700
09,DISTRICT,Bulandshahr ,Total,3499171,1845260,1653911
09,DISTRICT,Bulandshahr ,Rural,2631742,1390490,1241252
09,DISTRICT,Bulandshahr ,Urban,867429,454770,412659
09,DISTRICT,Aligarh,Total,3673889,1951996,1721893
09,DISTRICT,Aligarh,Rural,2456698,1308923,1147775
09,DISTRICT,Aligarh,Urban,1217191,643073,574118
09,DISTRICT,Mahamaya Nagar,Total,1564708,836127,728581
09,DISTRICT,Mahamaya Nagar,Rural,1232015,659814,572201
09,DISTRICT,Mahamaya Nagar,Urban,332693,176313,156380
09,DISTRICT,Mathura,Total,2547184,1367125,1180059
09,DISTRICT,Mathura,Rural,1791191,962028,829163
09,DISTRICT,Mathura,Urban,755993,405097,350896
09,DISTRICT,Agra,Total,4418797,2364953,2053844
09,DISTRICT,Agra,Rural,2394602,1285184,1109418
09,DISTRICT,Agra,Urban,2024195,1079769,944426
09,DISTRICT,Firozabad,Total,2498156,1332046,1166110
09,DISTRICT,Firozabad,Rural,1664987,891872,773115
09,DISTRICT,Firozabad,Urban,833169,440174,392995
09,DISTRICT,Mainpuri,Total,1868529,993377,875152
09,DISTRICT,Mainpuri,Rural,1580087,842374,737713
09,DISTRICT,Mainpuri,Urban,288442,151003,137439
09,DISTRICT,Budaun,Total,3681896,1967759,1714137
09,DISTRICT,Budaun,Rural,3037301,1630376,1406925
09,DISTRICT,Budaun,Urban,644595,337383,307212
09,DISTRICT,Bareilly,Total,4448359,2357665,2090694
09,DISTRICT,Bareilly,Rural,2879950,1530356,1349594
09,DISTRICT,Bareilly,Urban,1568409,827309,741100
09,DISTRICT,Pilibhit,Total,2031007,1072002,959005
