districtid,overallid,dose1,dose2
TN_Salem,overall,1023884,240779
TN_Sivaganga,overall,363612,56964
TN_Tenkasi,overall,318670,54592
TN_Thanjavur,overall,589530,102787
TN_Theni,overall,322318,52539
TN_Thiruvallur,overall,724041,165557
TN_Thiruvarur,overall,330191,45513
TN_Thoothukkudi,overall,434679,80991
TN_Tiruchirappalli,overall,792926,180677
TN_Tirunelveli,overall,374182,72065
TN_Tirupathur,overall,278345,57205
TN_Tiruppur,overall,751658,131533
TN_Tiruvannamalai,overall,608653,76539
TN_Vellore,overall,404871,120993
TN_Viluppuram,overall,436091,70415
TN_Virudhunagar,overall,588700,132475
TR_Dhalai,overall,250779,63601
TR_Gomati,overall,269862,77502
TR_Khowai,overall,188736,58696
TR_North Tripura,overall,273943,88874
TR_Sipahijala,overall,324924,104520
TR_South Tripura,overall,297326,101938
TR_Unokoti,overall,168790,48192
TR_West Tripura,overall,659337,283463
UP_Agra,overall,1164900,229477
UP_Aligarh,overall,779376,155306
UP_Ambedkar Nagar,overall,502246,80417
UP_Amethi,overall,475261,98128
UP_Amroha,overall,392567,68078
UP_Auraiya,overall,302129,51155
UP_Ayodhya,overall,559674,109689
UP_Azamgarh,overall,1030101,161205
UP_Baghpat,overall,470009,88644
UP_Bahraich,overall,938721,129849
UP_Ballia,overall,533698,117643
UP_Banda,overall,414902,50832
UP_Barabanki,overall,759633,99340
UP_Bareilly,overall,1070976,224470
UP_Basti,overall,666747,101155
UP_Bhadohi,overall,382210,64798
UP_Bijnor,overall,863344,152813
UP_Budaun,overall,535384,96669
UP_Bulandshahr,overall,1024222,166047
UP_Chandauli,overall,415630,60592
UP_Chitrakoot,overall,260473,24323
UP_Deoria,overall,630052,134678
UP_Etah,overall,347047,53243
UP_Etawah,overall,363780,63649
UP_Farrukhabad,overall,379313,65981
UP_Fatehpur,overall,579668,99203
UP_Firozabad,overall,540488,87123
UP_Gautam Buddha Nagar,overall,1433962,360371
UP_Ghaziabad,overall,1367395,317819
UP_Ghazipur,overall,842374,115732
UP_Gonda,overall,997649,129900
UP_Gorakhpur,overall,1238646,255319
UP_Hapur,overall,360386,71825
UP_Hardoi,overall,837276,103318
UP_Hathras,overall,386914,68402
UP_Jalaun,overall,422948,66235
UP_Jaunpur,overall,958703,183525
UP_Jhansi,overall,561543,118657
UP_Kannauj,overall,384393,41133
UP_Kanpur Dehat,overall,393291,58767
UP_Kanpur Nagar,overall,1130469,290306
UP_Kasganj,overall,286770,43001
UP_Kaushambi,overall,296640,53955
UP_Kushinagar,overall,698098,138961
UP_Lakhimpur Kheri,overall,737804,95696
UP_Lalitpur,overall,289870,34355
UP_Lucknow,overall,1713972,547681
UP_Maharajganj,overall,532658,96850
UP_Mahoba,overall,303314,48475
UP_Mainpuri,overall,374234,57213
UP_Mathura,overall,711494,144991
UP_Mau,overall,434124,91187
UP_Meerut,overall,1198295,315643
UP_Mirzapur,overall,700507,105939
UP_Moradabad,overall,677386,152807
UP_Muzaffarnagar,overall,696786,124525
UP_Pilibhit,overall,472944,88132
UP_Prayagraj,overall,1153725,278520
UP_Rae Bareli,overall,498390,80795
UP_Rampur,overall,400806,79192
UP_Saharanpur,overall,940308,195244
UP_Sambhal,overall,379251,63839
UP_Sant Kabir Nagar,overall,312162,53826
UP_Shahjahanpur,overall,612030,104845
UP_Shamli,overall,319256,64825
UP_Shrawasti,overall,323121,35360
UP_Siddharthnagar,overall,724748,102565
UP_Sitapur,overall,769671,120138
UP_Sonbhadra,overall,343945,75325
UP_Sultanpur,overall,501554,106540
UP_Unnao,overall,605005,110730
UP_Varanasi,overall,1105036,288111
UT_Almora,overall,319236,116868
UT_Bageshwar,overall,176476,58519
UT_Chamoli,overall,238711,86546
UT_Champawat,overall,168238,55175
UT_Dehradun,overall,1067509,399123
UT_Haridwar,overall,899271,219977
UT_Nainital,overall,560362,181532
UT_Pauri Garhwal,overall,329398,125273
UT_Pithoragarh,overall,248546,78582
UT_Rudraprayag,overall,162291,46684
UT_Tehri Garhwal,overall,307507,101122
UT_Udham Singh Nagar,overall,807126,180821
UT_Uttarkashi,overall,211186,72232
WB_Alipurduar,overall,412650,159599
WB_Bankura,overall,816668,306329
WB_Birbhum,overall,1012467,359472
WB_Cooch Behar,overall,494699,210246
WB_Dakshin Dinajpur,overall,396502,179652
WB_Darjeeling,overall,763086,268759
WB_Hooghly,overall,1435871,641359
WB_Howrah,overall,1306202,459345
WB_Jalpaiguri,overall,502113,153667
WB_Jhargram,overall,252020,71153
WB_Kalimpong,overall,148058,55789
WB_Kolkata,overall,3801296,1359794
WB_Malda,overall,709391,268876
WB_Murshidabad,overall,1171972,494059
WB_Nadia,overall,994959,426292
WB_North 24 Parganas,overall,3197404,1033782
WB_Paschim Bardhaman,overall,786694,258180
WB_Paschim Medinipur,overall,948146,380217
WB_Purba Bardhaman,overall,937024,457682
WB_Purba Medinipur,overall,1539152,672014
WB_Purulia,overall,580596,206567
WB_South 24 Parganas,overall,2067595,793261
WB_Uttar Dinajpur,overall,540958,173055
